x,y,gridcoords
767000.000000000000000,5952000.000000000000000,767000-5952000
767000.000000000000000,5953000.000000000000000,767000-5953000
767000.000000000000000,5954000.000000000000000,767000-5954000
767000.000000000000000,5955000.000000000000000,767000-5955000
767000.000000000000000,5956000.000000000000000,767000-5956000
767000.000000000000000,5957000.000000000000000,767000-5957000
767000.000000000000000,5958000.000000000000000,767000-5958000
767000.000000000000000,5959000.000000000000000,767000-5959000
767000.000000000000000,5960000.000000000000000,767000-5960000
767000.000000000000000,5960500.000000000000000,767000-5960500
767000.000000000000000,5961000.000000000000000,767000-5961000
767000.000000000000000,5961500.000000000000000,767000-5961500
767000.000000000000000,5962000.000000000000000,767000-5962000
767000.000000000000000,5963000.000000000000000,767000-5963000
767000.000000000000000,5964000.000000000000000,767000-5964000
767000.000000000000000,5966500.000000000000000,767000-5966500
767000.000000000000000,5944500.000000000000000,767000-5944500
767000.000000000000000,5945000.000000000000000,767000-5945000
767000.000000000000000,5950000.000000000000000,767000-5950000
767000.000000000000000,5967000.000000000000000,767000-5967000
767500.000000000000000,5944500.000000000000000,767500-5944500
767500.000000000000000,5947000.000000000000000,767500-5947000
767500.000000000000000,5947500.000000000000000,767500-5947500
767500.000000000000000,5948000.000000000000000,767500-5948000
767500.000000000000000,5948500.000000000000000,767500-5948500
767500.000000000000000,5949000.000000000000000,767500-5949000
767500.000000000000000,5949500.000000000000000,767500-5949500
767500.000000000000000,5956000.000000000000000,767500-5956000
767500.000000000000000,5961000.000000000000000,767500-5961000
767500.000000000000000,5964500.000000000000000,767500-5964500
767500.000000000000000,5966000.000000000000000,767500-5966000
767500.000000000000000,5966500.000000000000000,767500-5966500
767500.000000000000000,5944500.000000000000000,767500-5944500
767500.000000000000000,5945000.000000000000000,767500-5945000
767500.000000000000000,5944500.000000000000000,767500-5944500
767500.000000000000000,5948000.000000000000000,767500-5948000
767500.000000000000000,5948500.000000000000000,767500-5948500
767500.000000000000000,5949000.000000000000000,767500-5949000
767500.000000000000000,5949500.000000000000000,767500-5949500
767500.000000000000000,5950000.000000000000000,767500-5950000
767500.000000000000000,5951000.000000000000000,767500-5951000
767500.000000000000000,5954000.000000000000000,767500-5954000
767500.000000000000000,5955000.000000000000000,767500-5955000
767500.000000000000000,5955500.000000000000000,767500-5955500
767500.000000000000000,5956000.000000000000000,767500-5956000
767500.000000000000000,5956500.000000000000000,767500-5956500
767500.000000000000000,5957000.000000000000000,767500-5957000
767500.000000000000000,5958000.000000000000000,767500-5958000
767500.000000000000000,5959000.000000000000000,767500-5959000
767500.000000000000000,5960000.000000000000000,767500-5960000
767500.000000000000000,5960500.000000000000000,767500-5960500
767500.000000000000000,5961000.000000000000000,767500-5961000
767500.000000000000000,5961500.000000000000000,767500-5961500
767500.000000000000000,5962000.000000000000000,767500-5962000
767500.000000000000000,5963000.000000000000000,767500-5963000
767500.000000000000000,5964000.000000000000000,767500-5964000
767500.000000000000000,5964500.000000000000000,767500-5964500
768000.000000000000000,5945000.000000000000000,768000-5945000
768000.000000000000000,5964000.000000000000000,768000-5964000
768000.000000000000000,5947500.000000000000000,768000-5947500
768000.000000000000000,5948000.000000000000000,768000-5948000
768000.000000000000000,5948500.000000000000000,768000-5948500
768000.000000000000000,5949000.000000000000000,768000-5949000
768000.000000000000000,5951000.000000000000000,768000-5951000
768000.000000000000000,5956000.000000000000000,768000-5956000
768000.000000000000000,5961000.000000000000000,768000-5961000
768000.000000000000000,5961500.000000000000000,768000-5961500
768000.000000000000000,5964500.000000000000000,768000-5964500
768500.000000000000000,5964000.000000000000000,768500-5964000
768500.000000000000000,5965500.000000000000000,768500-5965500
768500.000000000000000,5970500.000000000000000,768500-5970500
768500.000000000000000,5947500.000000000000000,768500-5947500
768500.000000000000000,5948000.000000000000000,768500-5948000
768500.000000000000000,5948500.000000000000000,768500-5948500
768500.000000000000000,5949000.000000000000000,768500-5949000
768500.000000000000000,5949500.000000000000000,768500-5949500
768500.000000000000000,5950000.000000000000000,768500-5950000
768500.000000000000000,5950500.000000000000000,768500-5950500
768500.000000000000000,5951000.000000000000000,768500-5951000
768500.000000000000000,5951500.000000000000000,768500-5951500
768500.000000000000000,5952000.000000000000000,768500-5952000
768500.000000000000000,5954000.000000000000000,768500-5954000
768500.000000000000000,5955000.000000000000000,768500-5955000
768500.000000000000000,5955500.000000000000000,768500-5955500
768500.000000000000000,5956000.000000000000000,768500-5956000
768500.000000000000000,5956500.000000000000000,768500-5956500
768500.000000000000000,5957000.000000000000000,768500-5957000
768500.000000000000000,5958000.000000000000000,768500-5958000
768500.000000000000000,5958500.000000000000000,768500-5958500
768500.000000000000000,5959000.000000000000000,768500-5959000
768500.000000000000000,5959500.000000000000000,768500-5959500
768500.000000000000000,5960000.000000000000000,768500-5960000
768500.000000000000000,5960500.000000000000000,768500-5960500
768500.000000000000000,5961000.000000000000000,768500-5961000
768500.000000000000000,5961500.000000000000000,768500-5961500
768500.000000000000000,5962000.000000000000000,768500-5962000
768500.000000000000000,5963000.000000000000000,768500-5963000
768500.000000000000000,5964000.000000000000000,768500-5964000
768500.000000000000000,5964500.000000000000000,768500-5964500
768500.000000000000000,5965000.000000000000000,768500-5965000
768500.000000000000000,5965500.000000000000000,768500-5965500
768500.000000000000000,5967000.000000000000000,768500-5967000
768500.000000000000000,5967500.000000000000000,768500-5967500
769000.000000000000000,5950000.000000000000000,769000-5950000
769000.000000000000000,5964000.000000000000000,769000-5964000
769000.000000000000000,5964500.000000000000000,769000-5964500
769000.000000000000000,5947500.000000000000000,769000-5947500
769000.000000000000000,5948000.000000000000000,769000-5948000
769000.000000000000000,5948500.000000000000000,769000-5948500
769000.000000000000000,5949000.000000000000000,769000-5949000
769000.000000000000000,5949500.000000000000000,769000-5949500
769000.000000000000000,5950000.000000000000000,769000-5950000
769000.000000000000000,5951000.000000000000000,769000-5951000
769000.000000000000000,5956000.000000000000000,769000-5956000
769000.000000000000000,5958000.000000000000000,769000-5958000
769000.000000000000000,5958500.000000000000000,769000-5958500
769000.000000000000000,5959000.000000000000000,769000-5959000
769000.000000000000000,5959500.000000000000000,769000-5959500
769000.000000000000000,5960000.000000000000000,769000-5960000
769000.000000000000000,5960500.000000000000000,769000-5960500
769000.000000000000000,5961000.000000000000000,769000-5961000
769000.000000000000000,5961500.000000000000000,769000-5961500
769000.000000000000000,5962000.000000000000000,769000-5962000
769000.000000000000000,5965000.000000000000000,769000-5965000
769000.000000000000000,5965500.000000000000000,769000-5965500
769000.000000000000000,5967000.000000000000000,769000-5967000
769000.000000000000000,5967500.000000000000000,769000-5967500
769000.000000000000000,5969000.000000000000000,769000-5969000
769000.000000000000000,5969500.000000000000000,769000-5969500
769000.000000000000000,5970000.000000000000000,769000-5970000
769500.000000000000000,5965000.000000000000000,769500-5965000
769500.000000000000000,5968500.000000000000000,769500-5968500
769500.000000000000000,5947500.000000000000000,769500-5947500
769500.000000000000000,5948000.000000000000000,769500-5948000
769500.000000000000000,5948500.000000000000000,769500-5948500
769500.000000000000000,5949000.000000000000000,769500-5949000
769500.000000000000000,5950000.000000000000000,769500-5950000
769500.000000000000000,5951000.000000000000000,769500-5951000
769500.000000000000000,5955000.000000000000000,769500-5955000
769500.000000000000000,5956000.000000000000000,769500-5956000
769500.000000000000000,5957000.000000000000000,769500-5957000
769500.000000000000000,5958000.000000000000000,769500-5958000
769500.000000000000000,5958500.000000000000000,769500-5958500
769500.000000000000000,5959000.000000000000000,769500-5959000
769500.000000000000000,5959500.000000000000000,769500-5959500
769500.000000000000000,5960000.000000000000000,769500-5960000
769500.000000000000000,5960500.000000000000000,769500-5960500
769500.000000000000000,5961000.000000000000000,769500-5961000
769500.000000000000000,5961500.000000000000000,769500-5961500
769500.000000000000000,5962000.000000000000000,769500-5962000
769500.000000000000000,5962500.000000000000000,769500-5962500
769500.000000000000000,5963000.000000000000000,769500-5963000
769500.000000000000000,5964500.000000000000000,769500-5964500
769500.000000000000000,5967000.000000000000000,769500-5967000
769500.000000000000000,5970000.000000000000000,769500-5970000
770000.000000000000000,5949000.000000000000000,770000-5949000
770000.000000000000000,5959000.000000000000000,770000-5959000
770000.000000000000000,5964500.000000000000000,770000-5964500
770000.000000000000000,5965000.000000000000000,770000-5965000
770000.000000000000000,5968500.000000000000000,770000-5968500
770000.000000000000000,5947000.000000000000000,770000-5947000
770000.000000000000000,5947500.000000000000000,770000-5947500
770000.000000000000000,5948000.000000000000000,770000-5948000
770000.000000000000000,5948500.000000000000000,770000-5948500
770000.000000000000000,5949000.000000000000000,770000-5949000
770000.000000000000000,5957500.000000000000000,770000-5957500
770000.000000000000000,5958000.000000000000000,770000-5958000
770000.000000000000000,5958500.000000000000000,770000-5958500
